"","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"196",2.1,26.97,12.45,4.44,2.2
"197",38.9,21.26,10.09,4,41
"198",62.3,19.82,9.2,3.64,73
"199",17.9,19.2,7.04000000000001,4.77,17.4
"200",69.1,18.07,8.01000000000001,3.63,117.9
"201",36,20.38,7.76000000000001,4.93,14.2
"202",21.5,22.57,9.16,5.1,18.4
"203",13.2,26.29,13.17,5.25,11.7
"204",2.1,28.27,13.31,5.71,0.9
"205",13.8,28.06,14.1,4.81,13.7
"206",2.4,29.59,15.17,5.09,1.8
"207",2.6,28.11,13.7,4.89,2.2
"208",20.2,24.98,11.75,4.04,20.9
"209",73.9,21.53,9.43000000000001,3.29,79.5
"210",24.9,20.93,7.83,3.79,25.5
"211",29.9,18.32,7.51000000000001,3.52,31
"212",28.4,18.9,6.37,4.45,29.5
"213",3.5,22.83,9.19,4.55,3.4
"214",18,22.33,9.34,4.77,18.7
"215",5.6,25.5,11.71,5.23,5.6
"216",6,27.44,12.98,5.43,6.1
"217",5.2,30.12,15.04,5.38,5.3
"218",6.8,28.57,13.92,4.88,7
"219",5.2,26.85,13.37,5.42,5.3
"220",52.9,25.67,11.77,4.33,55.5
"221",14.2,23.25,10.49,3.59,14.9
"222",55.5,19.04,8.89,3.12,86.9
"223",52.3,18.39,7.36,3.58,41.1
"224",26.8,19.8,6.66,3.77,22.4
"225",16.2,21.04,9.24000000000001,5.04,14.5
"226",6.9,23.3,10.59,5.28,5.7
"227",37.2,22.7,10.67,5.28,38.2
"228",21.7,26.28,13.28,5.82,22.1
"229",7.7,27.52,13.82,5.02,7.6
"230",14.5,28.84,15.59,5.58,14.9
"231",2.7,27.89,13.36,5.13,2.5
"232",32.4,25.76,13.02,3.66,33.8
"233",72,19.54,9.16,3.47,86.1
"234",60,18.87,8.90000000000001,4.49,60.2
"235",59.8,18.5,6.64,3.78,60.8
"236",44.8,20.49,8.46000000000001,3.38,45.5
"237",18.3,20.79,8.94,4.33,18.2
"238",5.1,23.31,9.82000000000001,4.96,4.6
"239",10.2,27.2,12.59,5.34,10.2
"240",7.3,28.07,14.12,5.17,7.3
"241",6.5,28.95,14.41,4.79,6.5
"242",2.5,28.82,14.02,5.45,2.3
"243",13.2,28.49,13.88,5.06,13.7
"244",14.6,25.33,11.87,3.9,15.2
"245",8.2,21.44,8.48,4.29,8.5
"246",3.8,22.16,7.29000000000001,4.12,3.8
"247",5.4,21.6,7.89,3.59,5.6
"248",51.3,18.78,7.52,4.32,53.9
"249",16.4,20.48,7.91,4.48,17.1
"250",7.1,22.23,8.69,4.53,7.4
"251",4.8,27.27,12.5,5.65,5
"252",5.5,27.95,14.16,5.11,5.8
"253",3.6,29.04,14.49,4.74,3.7
"254",4.1,29.21,14.66,4.75,4.3
"255",1.2,26.87,12.78,4.68,1.2
"256",1.6,26.49,11.74,3.3,1.6
"257",31.3,22.77,10.75,4.01,32.9
"258",39.5,20.62,8.74000000000001,4.14,41.6
"259",19.3,19.24,7.47,3.72,20.3
"260",21.2,20.31,8.54000000000001,4.31,22.3
"261",14.1,21.11,8.09,4.7,14.8
"262",16.7,22.59,9.68000000000001,4.72,17.5
"263",1.6,27.35,12.84,5.25,1.6
"264",0,29.24,13.75,5.71,0
"265",6.6,28.41,14.26,5.13,6.9
"266",1.9,28.86,14.17,5.03,2
"267",3.4,29.19,14.13,4.16,3.5
"268",12.9,25.22,11.89,4,13.6
"269",38.9,21.48,9.03,3.35,41
"270",50.6,20.44,7.86,3.51,53.3
"271",11.3,21.79,7.62,3.29,11.9
"272",35.5,21.34,8.72,3.69,37.3
"273",5.1,21.74,8.97,4.39,5.3
"274",5.4,24.71,9.82000000000001,4.89,5.7
"275",29.3,23.88,12.31,5.07,30.8
"276",4.6,26.93,13.85,5.44,4.8
"277",7.1,27.04,13.72,5.2,7.5
"278",0,29.09,14.75,5.32,0
"279",8.3,27.37,13.2,4.89,8.7
"280",12.2,26.38,11.67,3.95,12.8
"281",5.4,23.45,10.29,3.26,5.6
"282",17.7,19.62,6.81,2.79,18.6
"283",52,18.33,6.90000000000001,3.77,54.7
"284",56.6,17.78,7.54000000000001,4.74,59.6
"285",30.3,20.58,8.44,5.12,31.9
"286",6.9,24.54,10.63,4.83,7.3
"287",5.2,26.02,12.47,5.17,5.5
"288",8.6,27.66,13.75,5.63,9
"289",19.9,27.31,14.16,4.66,21
"290",0.6,28.56,14.03,5.14,0.6
"291",13.1,27.24,13.2,5.06,13.8
"292",35.7,23.52,11.14,4.23,37.6
"293",17.7,22.25,9.35000000000001,3.26,18.6
"294",39.9,19.75,7.55,3.17,42
"295",36.4,19.57,7.49000000000001,3.21,38.3
"296",16.1,20.36,7.52,3.24,16.9
"297",4.2,24.14,9.68000000000001,4.45,4.4
"298",25.4,24.48,11.51,5.23,26.7
"299",3.9,25.24,11.59,5.08,4.1
"300",7.3,26.8,12.63,5.05,7.6
"301",2.9,29.01,14.36,4.41,3
"302",10.8,27.24,13.13,5.21,11.4
"303",7.6,27.79,13.13,4.89,8
"304",8,27,12.77,3.67,8.4
"305",74.5,20.87,9.85000000000001,3.81,82.3
"306",49.4,19.51,8.11,3.63,51.5
"307",38.7,19.07,7.77,4.18,40.4
"308",13.1,20.5,7.21000000000001,3.5,13.4
"309",32.6,19.94,8.64,4.34,34.1
"310",2.7,24.32,10.83,4.98,2.6
"311",8.7,25.52,12.12,5.14,8.9
"312",2.3,28.07,13.88,5.14,2.2
"313",1.2,29.09,14.96,4.59,1.1
"314",0.4,29.77,14.63,5.13,0.3
"315",20.5,28.83,15.03,4.94,21.5
"316",7.6,26.7,12.08,3.84,7.9
"317",72.9,20.8,10.34,3.86,76.7
"318",11,21.43,8.88,3.67,11.5
"319",19.3,19.79,7.77,3.71,20.3
"320",15.4,20.66,7.52,3.43,16.1
"321",40.2,21.37,9.10000000000001,4.1,42.2
"322",35.8,22.52,10.36,5.06,37.7
"323",3,27.91,13.01,5.36,3.1
"324",18.3,26.39,13.17,5.59,19.2
"325",15.5,28.39,15.36,4.53,16.3
"326",7.7,28.63,14.98,5.29,8.1
"327",22.9,26.3,12.73,4.83,24.1
"328",23.3,25.2,12.1,4.07,24.5
"329",37.5,23.04,9.96000000000001,3.38,39.4
"330",30.5,20.6,8.12,3.1,32.1
"331",46.4,19.39,7.24000000000001,3.04,48.8
"332",24.6,21.37,8.38,3.44,25.9
"333",18.5,21.53,8.84,4.24,19.5
"334",8.5,24.61,11.5,5.32,9
"335",10.8,28.76,14.9,4.61,11.4
"336",17.2,27.22,13.99,5.23,18
"337",2.2,29.08,14.79,4.78,2.3
"338",0.6,29,14.44,4.97,0.6
